pickup_datetime,dropoff_datetime,vendor_id,passenger_count,trip_distance,pickup_zone_id,dropoff_zone_id,payment_type,fare_amount,tip_amount
2026-01-02 20:01:00,2026-01-02 20:13:10,1,1,2.1,161,234,1,13.5,2.5
2026-01-02 20:03:00,2026-01-02 20:12:40,2,2,1.8,107,79,1,12.0,2.0
2026-01-02 20:05:00,2026-01-02 20:19:30,1,1,3.4,141,48,2,18.0,0.0
2026-01-02 20:07:00,2026-01-02 20:10:30,2,1,0.8,79,107,1,8.0,1.5
2026-01-02 20:10:00,2026-01-02 20:35:00,2,3,6.2,132,161,1,45.0,6.0
2026-01-02 20:12:00,2026-01-02 20:24:00,1,1,2.6,48,236,1,15.0,3.0
2026-01-02 20:15:00,2026-01-02 20:28:20,1,2,2.9,161,141,1,16.0,3.2
2026-01-02 20:18:00,2026-01-02 20:22:30,2,1,1.0,107,48,2,9.0,0.0
2026-01-02 20:20:00,2026-01-02 20:55:30,1,1,7.4,161,132,1,52.0,8.0
2026-01-02 20:22:00,2026-01-02 20:31:00,2,1,2.0,236,161,1,14.0,2.8
2026-01-02 20:25:00,2026-01-02 20:33:20,1,1,1.9,68,236,1,13.0,2.6
2026-01-02 20:28:00,2026-01-02 20:50:00,2,2,4.8,170,161,1,28.0,5.0
2026-01-02 20:30:00,2026-01-02 20:34:30,1,1,0.9,79,141,1,9.5,1.0
2026-01-02 20:33:00,2026-01-02 20:45:00,2,1,2.7,141,234,2,17.0,0.0
2026-01-02 20:35:00,2026-01-02 20:45:20,1,2,2.5,234,161,1,16.5,3.3
2026-01-02 20:38:00,2026-01-02 20:39:30,2,1,0.3,107,107,1,6.0,1.2
2026-01-02 20:40:00,2026-01-02 20:44:00,1,1,1.1,48,79,1,10.0,2.0
2026-01-02 20:42:00,2026-01-02 20:57:30,2,1,3.9,161,236,1,22.0,4.0
2026-01-02 20:45:00,2026-01-02 20:54:10,1,1,2.2,236,141,2,15.5,0.0
2026-01-02 20:48:00,2026-01-02 21:02:00,2,2,3.6,141,68,1,20.0,4.5
